Ad ID,Date,Ad name,Ad entity status,Spend in account currency,Ad group name,Ad group,Campaign ID,Campaign name,Earned impressions,Earned saves,Impressions,Paid impressions,Paid saves,Paid video played at 100%,Paid video played at 25%,Paid video played at 75%,Paid video played at 95%,Earned Pin clicks,Paid Pin clicks,Pin clicks,Organic pin ID
PP687198627245,2021-05-04,Pork & Pasta,ACTIVE,0,6/5-12/31,AG2680062671976,C626739865576,***2018 Fresh | Portfolio Pinterest,1,0,1,0,0,0,0,0,0,0,0,0,P459719074458072492
PP687198627245,2021-05-09,Pork & Pasta,ACTIVE,0,6/5-12/31,AG2680062671976,C626739865576,***2018 Fresh | Portfolio Pinterest,3,0,3,0,0,0,0,0,0,0,0,0,P459719074458072492
PP687198627245,2021-05-12,Pork & Pasta,ACTIVE,0,6/5-12/31,AG2680062671976,C626739865576,***2018 Fresh | Portfolio Pinterest,1,0,1,0,0,0,0,0,0,0,0,0,P459719074458072492
PP687199381875,2021-05-06,Carnitas Tacos,ACTIVE,0,6/5-12/31,AG2680062671976,C626739865576,***2018 Fresh | Portfolio Pinterest,1,0,1,0,0,0,0,0,0,0,0,0,P459719074459564056
PP687199381875,2021-05-10,Carnitas Tacos,ACTIVE,0,6/5-12/31,AG2680062671976,C626739865576,***2018 Fresh | Portfolio Pinterest,2,0,2,0,0,0,0,0,0,0,0,0,P459719074459564056
PP687199381875,2021-05-12,Carnitas Tacos,ACTIVE,0,6/5-12/31,AG2680062671976,C626739865576,***2018 Fresh | Portfolio Pinterest,1,0,1,0,0,0,0,0,0,0,0,0,P459719074459564056
PP687199381875,2021-05-14,Carnitas Tacos,ACTIVE,0,6/5-12/31,AG2680062671976,C626739865576,***2018 Fresh | Portfolio Pinterest,1,0,1,0,0,0,0,0,0,0,0,0,P459719074459564056
PP687199381875,2021-05-16,Carnitas Tacos,ACTIVE,0,6/5-12/31,AG2680062671976,C626739865576,***2018 Fresh | Portfolio Pinterest,3,0,3,0,0,0,0,0,0,0,0,0,P459719074459564056
PP687199382010,2021-05-04,Root Beer Ribs,PAUSED,0,10/5-12/31,AG2680063022132,C626740089914,***2018 Fresh | Portfolio Pinterest Video,3,0,3,0,0,0,0,0,0,0,0,0,P459719074459564065
PP687199382010,2021-05-05,Root Beer Ribs,PAUSED,0,10/5-12/31,AG2680063022132,C626740089914,***2018 Fresh | Portfolio Pinterest Video,2,0,2,0,0,0,0,0,0,0,0,0,P459719074459564065
PP687199382010,2021-05-06,Root Beer Ribs,PAUSED,0,10/5-12/31,AG2680063022132,C626740089914,***2018 Fresh | Portfolio Pinterest Video,10,0,10,0,0,0,0,0,0,0,0,0,P459719074459564065
PP687199382010,2021-05-07,Root Beer Ribs,PAUSED,0,10/5-12/31,AG2680063022132,C626740089914,***2018 Fresh | Portfolio Pinterest Video,5,0,5,0,0,0,0,0,0,0,0,0,P459719074459564065
PP687199382010,2021-05-08,Root Beer Ribs,PAUSED,0,10/5-12/31,AG2680063022132,C626740089914,***2018 Fresh | Portfolio Pinterest Video,4,0,4,0,0,0,0,0,0,0,0,0,P459719074459564065
PP687199382010,2021-05-09,Root Beer Ribs,PAUSED,0,10/5-12/31,AG2680063022132,C626740089914,***2018 Fresh | Portfolio Pinterest Video,10,0,10,0,0,0,0,0,0,0,0,0,P459719074459564065
PP687199382010,2021-05-10,Root Beer Ribs,PAUSED,0,10/5-12/31,AG2680063022132,C626740089914,***2018 Fresh | Portfolio Pinterest Video,2,0,2,0,0,0,0,0,0,0,0,0,P459719074459564065
PP687199382010,2021-05-11,Root Beer Ribs,PAUSED,0,10/5-12/31,AG2680063022132,C626740089914,***2018 Fresh | Portfolio Pinterest Video,5,0,5,0,0,0,0,0,0,0,0,0,P459719074459564065
PP687199382010,2021-05-12,Root Beer Ribs,PAUSED,0,10/5-12/31,AG2680063022132,C626740089914,***2018 Fresh | Portfolio Pinterest Video,7,0,7,0,0,0,0,0,0,0,0,0,P459719074459564065
PP687199382010,2021-05-14,Root Beer Ribs,PAUSED,0,10/5-12/31,AG2680063022132,C626740089914,***2018 Fresh | Portfolio Pinterest Video,6,0,6,0,0,0,0,0,0,0,0,0,P459719074459564065
PP687199382010,2021-05-15,Root Beer Ribs,PAUSED,0,10/5-12/31,AG2680063022132,C626740089914,***2018 Fresh | Portfolio Pinterest Video,1,0,1,0,0,0,0,0,0,0,0,0,P459719074459564065
PP687199382010,2021-05-16,Root Beer Ribs,PAUSED,0,10/5-12/31,AG2680063022132,C626740089914,***2018 Fresh | Portfolio Pinterest Video,4,0,4,0,0,0,0,0,0,0,0,0,P459719074459564065
PP687199382010,2021-05-17,Root Beer Ribs,PAUSED,0,10/5-12/31,AG2680063022132,C626740089914,***2018 Fresh | Portfolio Pinterest Video,3,0,3,0,0,0,0,0,0,0,0,0,P459719074459564065
PP687199476896,2021-05-05,11/1 November Dole,ACTIVE,0,Dole Partnership,AG2680062996194,C626740072339,Packaged - Dole Partnership,4,0,4,0,0,0,0,0,0,0,0,0,P459719074459735945
PP687199476896,2021-05-06,11/1 November Dole,ACTIVE,0,Dole Partnership,AG2680062996194,C626740072339,Packaged - Dole Partnership,2,0,2,0,0,0,0,0,0,0,0,0,P459719074459735945
PP687199476896,2021-05-07,11/1 November Dole,ACTIVE,0,Dole Partnership,AG2680062996194,C626740072339,Packaged - Dole Partnership,3,0,3,0,0,0,0,0,0,0,0,0,P459719074459735945
PP687199476896,2021-05-08,11/1 November Dole,ACTIVE,0,Dole Partnership,AG2680062996194,C626740072339,Packaged - Dole Partnership,1,0,1,0,0,0,0,0,0,0,0,0,P459719074459735945
PP687199476896,2021-05-09,11/1 November Dole,ACTIVE,0,Dole Partnership,AG2680062996194,C626740072339,Packaged - Dole Partnership,3,0,3,0,0,0,0,0,0,0,0,0,P459719074459735945
PP687199476896,2021-05-10,11/1 November Dole,ACTIVE,0,Dole Partnership,AG2680062996194,C626740072339,Packaged - Dole Partnership,2,0,2,0,0,0,0,0,0,0,0,0,P459719074459735945
PP687199476896,2021-05-12,11/1 November Dole,ACTIVE,0,Dole Partnership,AG2680062996194,C626740072339,Packaged - Dole Partnership,10,0,10,0,0,0,0,0,0,0,0,0,P459719074459735945
PP687199476896,2021-05-13,11/1 November Dole,ACTIVE,0,Dole Partnership,AG2680062996194,C626740072339,Packaged - Dole Partnership,1,0,1,0,0,0,0,0,0,0,0,0,P459719074459735945
PP687199545952,2021-05-04,Bacon Bar,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,32,1,32,0,0,0,0,0,0,1,0,1,P459719074459874323
PP687199545952,2021-05-05,Bacon Bar,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,7,0,7,0,0,0,0,0,0,0,0,0,P459719074459874323
PP687199545952,2021-05-06,Bacon Bar,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,10,0,10,0,0,0,0,0,0,0,0,0,P459719074459874323
PP687199545952,2021-05-07,Bacon Bar,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,7,0,7,0,0,0,0,0,0,0,0,0,P459719074459874323
PP687199545952,2021-05-08,Bacon Bar,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,7,0,7,0,0,0,0,0,0,0,0,0,P459719074459874323
PP687199545952,2021-05-09,Bacon Bar,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,6,0,6,0,0,0,0,0,0,0,0,0,P459719074459874323
PP687199545952,2021-05-10,Bacon Bar,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,20,0,20,0,0,0,0,0,0,1,0,1,P459719074459874323
PP687199545952,2021-05-11,Bacon Bar,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,11,0,11,0,0,0,0,0,0,0,0,0,P459719074459874323
PP687199545952,2021-05-12,Bacon Bar,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,26,0,26,0,0,0,0,0,0,0,0,0,P459719074459874323
PP687199545952,2021-05-13,Bacon Bar,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,16,0,16,0,0,0,0,0,0,1,0,1,P459719074459874323
PP687199545952,2021-05-14,Bacon Bar,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,14,1,14,0,0,0,0,0,0,1,0,1,P459719074459874323
PP687199545952,2021-05-15,Bacon Bar,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,12,0,12,0,0,0,0,0,0,0,0,0,P459719074459874323
PP687199545952,2021-05-16,Bacon Bar,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,25,0,25,0,0,0,0,0,0,4,0,4,P459719074459874323
PP687199545952,2021-05-17,Bacon Bar,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,8,0,8,0,0,0,0,0,0,0,0,0,P459719074459874323
PP687199545953,2021-05-05,Bacon Jam,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,2,0,2,0,0,0,0,0,0,0,0,0,P459719074459874335
PP687199545953,2021-05-06,Bacon Jam,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,2,0,2,0,0,0,0,0,0,0,0,0,P459719074459874335
PP687199545953,2021-05-07,Bacon Jam,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,2,0,2,0,0,0,0,0,0,0,0,0,P459719074459874335
PP687199545953,2021-05-09,Bacon Jam,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,2,0,2,0,0,0,0,0,0,0,0,0,P459719074459874335
PP687199545953,2021-05-10,Bacon Jam,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,1,0,1,0,0,0,0,0,0,0,0,0,P459719074459874335
PP687199545953,2021-05-11,Bacon Jam,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,4,0,4,0,0,0,0,0,0,0,0,0,P459719074459874335
PP687199545953,2021-05-12,Bacon Jam,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,3,0,3,0,0,0,0,0,0,0,0,0,P459719074459874335
PP687199545953,2021-05-13,Bacon Jam,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,6,0,6,0,0,0,0,0,0,0,0,0,P459719074459874335
PP687199545953,2021-05-14,Bacon Jam,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,4,0,4,0,0,0,0,0,0,0,0,0,P459719074459874335
PP687199545953,2021-05-15,Bacon Jam,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,6,0,6,0,0,0,0,0,0,0,0,0,P459719074459874335
PP687199545953,2021-05-16,Bacon Jam,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,6,0,6,0,0,0,0,0,0,0,0,0,P459719074459874335
PP687199545954,2021-05-04,Bacon Twists,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,56,0,56,0,0,0,0,0,0,0,0,0,P459719074459874345
PP687199545954,2021-05-05,Bacon Twists,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,54,0,54,0,0,0,0,0,0,0,0,0,P459719074459874345
PP687199545954,2021-05-06,Bacon Twists,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,37,1,37,0,0,0,0,0,0,1,0,1,P459719074459874345
PP687199545954,2021-05-07,Bacon Twists,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,48,0,48,0,0,0,0,0,0,0,0,0,P459719074459874345
PP687199545954,2021-05-08,Bacon Twists,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,32,0,32,0,0,0,0,0,0,0,0,0,P459719074459874345
PP687199545954,2021-05-09,Bacon Twists,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,46,0,46,0,0,0,0,0,0,0,0,0,P459719074459874345
PP687199545954,2021-05-10,Bacon Twists,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,24,0,24,0,0,0,0,0,0,0,0,0,P459719074459874345
PP687199545954,2021-05-11,Bacon Twists,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,31,0,31,0,0,0,0,0,0,0,0,0,P459719074459874345
PP687199545954,2021-05-12,Bacon Twists,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,29,0,29,0,0,0,0,0,0,0,0,0,P459719074459874345
PP687199545954,2021-05-13,Bacon Twists,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,53,1,53,0,0,0,0,0,0,1,0,1,P459719074459874345
PP687199545954,2021-05-14,Bacon Twists,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,23,0,23,0,0,0,0,0,0,0,0,0,P459719074459874345
PP687199545954,2021-05-15,Bacon Twists,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,14,0,14,0,0,0,0,0,0,0,0,0,P459719074459874345
PP687199545954,2021-05-16,Bacon Twists,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,37,0,37,0,0,0,0,0,0,0,0,0,P459719074459874345
PP687199545954,2021-05-17,Bacon Twists,PAUSED,0,Packaged Holiday Hub,AG2680063082972,C626740130963,Packaged Holiday Hub,28,0,28,0,0,0,0,0,0,0,0,0,P459719074459874345
