Ad ID,Date,Ad name,Ad entity status,Spend in account currency,Ad group name,Ad group,Campaign ID,Campaign name,Earned impressions,Earned saves,Impressions,Paid impressions,Paid saves,Paid video played at 100%,Paid video played at 25%,Paid video played at 75%,Paid video played at 95%,Earned Pin clicks,Paid Pin clicks,Pin clicks,Organic pin ID
PP687205149019,2021-05-15,Video views (CPV) | Better bites start now,PAUSED,0,TM_DRBEB_BrandLed-Metros_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_IceCreamKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-06.30_NAN_Feed,AG2680065356041,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,1,0,1,0,0,0,0,0,0,0,0,0,P102597697749401787
PP687205149019,2021-05-17,Video views (CPV) | Better bites start now,PAUSED,0,TM_DRBEB_BrandLed-Metros_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_IceCreamKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-06.30_NAN_Feed,AG2680065356041,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,1,0,1,0,0,0,0,0,0,0,0,0,P102597697749401787
PP687205149107,2021-05-04,Video views (CPV) | Better bites start now,PAUSED,0,TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356074,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,14,0,14,0,0,0,0,0,0,1,0,1,P102597697749401778
PP687205149107,2021-05-05,Video views (CPV) | Better bites start now,PAUSED,0,TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356074,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,1,0,1,0,0,0,0,0,0,0,0,0,P102597697749401778
PP687205149107,2021-05-06,Video views (CPV) | Better bites start now,PAUSED,0,TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356074,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,4,0,4,0,0,0,0,0,0,0,0,0,P102597697749401778
PP687205149107,2021-05-07,Video views (CPV) | Better bites start now,PAUSED,0,TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356074,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,5,0,5,0,0,0,0,0,0,0,0,0,P102597697749401778
PP687205149107,2021-05-08,Video views (CPV) | Better bites start now,PAUSED,0,TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356074,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,6,0,6,0,0,0,0,0,0,0,0,0,P102597697749401778
PP687205149107,2021-05-09,Video views (CPV) | Better bites start now,PAUSED,0,TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356074,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,4,0,4,0,0,0,0,0,0,0,0,0,P102597697749401778
PP687205149107,2021-05-10,Video views (CPV) | Better bites start now,PAUSED,0,TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356074,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,9,0,9,0,0,0,0,0,0,0,0,0,P102597697749401778
PP687205149107,2021-05-11,Video views (CPV) | Better bites start now,PAUSED,0,TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356074,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,2,0,2,0,0,0,0,0,0,0,0,0,P102597697749401778
PP687205149107,2021-05-12,Video views (CPV) | Better bites start now,PAUSED,0,TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356074,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,4,0,4,0,0,0,0,0,0,0,0,0,P102597697749401778
PP687205149107,2021-05-13,Video views (CPV) | Better bites start now,PAUSED,0,TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356074,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,6,0,6,0,0,0,0,0,0,0,0,0,P102597697749401778
PP687205149107,2021-05-14,Video views (CPV) | Better bites start now,PAUSED,0,TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356074,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,5,0,5,0,0,0,0,0,0,0,0,0,P102597697749401778
PP687205149107,2021-05-15,Video views (CPV) | Better bites start now,PAUSED,0,TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356074,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,5,0,5,0,0,0,0,0,0,0,0,0,P102597697749401778
PP687205149107,2021-05-16,Video views (CPV) | Better bites start now,PAUSED,0,TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356074,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,3,0,3,0,0,0,0,0,0,0,0,0,P102597697749401778
PP687205149107,2021-05-17,Video views (CPV) | Better bites start now,PAUSED,0,TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356074,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,7,0,7,0,0,0,0,0,0,0,0,0,P102597697749401778
PP687205149108,2021-05-04,Video views (CPV) | Better bites start now,PAUSED,0,TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356074,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,1,0,1,0,0,0,0,0,0,0,0,0,P102597697749401774
PP687205149108,2021-05-09,Video views (CPV) | Better bites start now,PAUSED,0,TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356074,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,1,0,1,0,0,0,0,0,0,0,0,0,P102597697749401774
PP687205149108,2021-05-10,Video views (CPV) | Better bites start now,PAUSED,0,TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356074,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,2,0,2,0,0,0,0,0,0,0,0,0,P102597697749401774
PP687205149109,2021-05-07,Video views (CPV) | Better bites start now,ACTIVE,0,TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356074,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,3,0,3,0,0,0,0,0,0,0,0,0,P102597697749401769
PP687205149109,2021-05-08,Video views (CPV) | Better bites start now,ACTIVE,0,TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356074,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,1,0,1,0,0,0,0,0,0,0,0,0,P102597697749401769
PP687205149109,2021-05-10,Video views (CPV) | Better bites start now,ACTIVE,0,TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356074,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,2,0,2,0,0,0,0,0,0,0,0,0,P102597697749401769
PP687205149109,2021-05-12,Video views (CPV) | Better bites start now,ACTIVE,0,TM_DRBEB_BrandLed-Zips_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356074,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,1,0,1,0,0,0,0,0,0,0,0,0,P102597697749401769
PP687205149120,2021-05-09,Video views (CPV) | Better bites start now,PAUSED,0,TM_DRBEB_BrandLed-Metros_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-06.30_NAN_Feed,AG2680065356082,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,1,0,1,0,0,0,0,0,0,0,0,0,P102597697749401774
PP687205149121,2021-05-04,Video views (CPV) | Better bites start now,ACTIVE,0,TM_DRBEB_BrandLed-Metros_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_CheeseKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-06.30_NAN_Feed,AG2680065356082,C626741735396,ASM_DRBEB_HiTouchMarkets_VideoViews_AllPlacements_03.12-12.20,1,0,1,0,0,0,0,0,0,0,0,0,P102597697749401769
PP687205149143,2021-05-04,Video views (CPV) | Better bites start now,ACTIVE,0,TM_DRBEB_BrandLed-Metros_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_IceCreamKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356096,C626741740586,ASM_DRBEB_KeyMarkets_VideoViews_AllPlacements_03.12-12.20,2,0,2,0,0,0,0,0,0,0,0,0,P102597697749401753
PP687205149143,2021-05-11,Video views (CPV) | Better bites start now,ACTIVE,0,TM_DRBEB_BrandLed-Metros_PROG_VID_SOCVID_Pinterest_FOOD_PROSP_NAN_IceCreamKeywords/Interests_NAN_CPM_CROS_VID15_SS_HighTouchMarkets_NAN_03.11-12.20_NAN_Feed,AG2680065356096,C626741740586,ASM_DRBEB_KeyMarkets_VideoViews_AllPlacements_03.12-12.20,3,0,3,0,0,0,0,0,0,0,0,0,P102597697749401753
